date,ticker,price,volume
11/1/2024,OOGL,171.29,31796.48
11/4/2024,OOGL,169.24,21492.74
11/5/2024,OOGL,169.74,18242.051
11/6/2024,OOGL,176.51,33695.539
11/7/2024,OOGL,180.75,25352.939
11/8/2024,OOGL,178.35,22006.18
11/11/2024,OOGL,180.35,17450.35
11/12/2024,OOGL,181.62,25134.91
11/13/2024,OOGL,178.88,23184
11/14/2024,OOGL,175.58,31007.461
11/15/2024,OOGL,172.49,32504.65
11/18/2024,OOGL,175.3,20206.609
11/19/2024,OOGL,178.12,23434.93
11/20/2024,OOGL,175.98,18997.109
11/21/2024,OOGL,167.63,59734.379
11/22/2024,OOGL,164.76,38604.594
11/25/2024,OOGL,167.65,33135.262
11/26/2024,OOGL,169.12,20486.721
11/27/2024,OOGL,169.23,19266.51
11/28/2024,OOGL,169.23,0
11/29/2024,OOGL,168.95,14257.24
12/2/2024,OOGL,171.49,23789.08
12/3/2024,OOGL,171.34,22248.711
12/4/2024,OOGL,174.37,31615.141
12/5/2024,OOGL,172.64,21356.24
12/6/2024,OOGL,174.71,21462.391
12/9/2024,OOGL,175.37,25389.631
12/10/2024,OOGL,185.17,54813.02
12/11/2024,OOGL,195.4,67894.07
12/12/2024,OOGL,191.96,34817.488
12/13/2024,OOGL,189.82,25143.5
12/16/2024,OOGL,196.66,44934.898
12/17/2024,OOGL,195.42,43504.031
12/18/2024,OOGL,188.4,34166.07
12/19/2024,OOGL,188.51,32265.24
12/20/2024,OOGL,191.41,63462.93
12/23/2024,OOGL,194.63,25675.01
12/24/2024,OOGL,196.11,10403.26
12/25/2024,OOGL,196.11,0
12/26/2024,OOGL,195.6,12057.21
12/27/2024,OOGL,192.76,18891.359
12/30/2024,OOGL,191.24,14264.66
12/31/2024,OOGL,189.3,17466.92
1/1/2025,OOGL,189.3,0
1/2/2025,OOGL,189.43,20370.83
1/3/2025,OOGL,191.79,18596.16
1/6/2025,OOGL,196.87,29563.641
1/7/2025,OOGL,195.49,26487.24
1/8/2025,OOGL,193.95,24864.77
1/9/2025,OOGL,193.95,0
1/10/2025,OOGL,192.04,26665.211
1/13/2025,OOGL,191.01,21823.699
1/14/2025,OOGL,189.66,17174.85
1/15/2025,OOGL,195.55,21775.971
1/16/2025,OOGL,192.91,17815.43
1/17/2025,OOGL,196,27735.09
1/20/2025,OOGL,196,0
1/21/2025,OOGL,198.05,29971.289
1/22/2025,OOGL,198.37,26200.619
1/23/2025,OOGL,197.98,26951.359
1/24/2025,OOGL,200.21,23877.52
1/27/2025,OOGL,191.81,41728.887
1/28/2025,OOGL,195.3,24157.93
